"_id","nom","prenom","birthdate","ects","diplome","type_contrat","duree_contrat","etude","campus","activite","entreprise","universite"
"ObjectId(""61db553ec81e1457f090d71d"")","Chaddie","Keenan","11/06/1996",42,"FAUX","Contrat d'apprentissage",11,"termine","CLERMONT","BDS","MRC","ESI"
"ObjectId(""61db553ec81e1457f090d71e"")","Cherilynn","Polye","10/09/1996",51,"FAUX","Contrat d'apprentissage",17,"stop","LILLE","SPR","ATOS","101"
"ObjectId(""61db553ec81e1457f090d71f"")","Cello","Kells","21/12/1998",146,"FAUX","Contrat d'apprentissage",4,"en cours","CAEN","SPR","ADVENCE CAMEROUN","ISIMA"
"ObjectId(""61db553ec81e1457f090d720"")","Anjanette","Side","04/09/1993",252,"FAUX","Contrat Pro",13,"en cours","CLERMONT","BDS","THALES","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d721"")","Harold","Rapinett","22/04/1998",124,"FAUX","Stage",3,"termine","CAEN","BDE","FREE","MINES"
"ObjectId(""61db553ec81e1457f090d722"")","Clem","De la Feld","05/12/2001",78,"FAUX","Contrat Pro",3,"termine","LILLE","BDS","CGI","ESI"
"ObjectId(""61db553ec81e1457f090d723"")","Glynda","Kiefer","29/06/2000",241,"FAUX","Contrat Pro",24,"termine","CAEN","BDE","CONNEXTIC","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d724"")","Ginelle","Rushworth","01/05/1998",148,"FAUX","Stage",3,"en cours","CLERMONT","BDE","ADVENCE CAMEROUN","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d725"")","Caroline","Tremoulet","20/06/1999",257,"FAUX","Contrat d'apprentissage",23,"termine","PARIS","SPR","SOFTTEAMS","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d726"")","Broddie","Oxteby","13/12/1996",252,"FAUX","Stage",23,"stop","LILLE","BDS","ADVENCE CAMEROUN","ESI"
"ObjectId(""61db553ec81e1457f090d727"")","Malvina","Botfield","29/08/1993",88,"FAUX","Contrat d'apprentissage",8,"en cours","MONTPELIER","BDE","HUAWEI","42"
"ObjectId(""61db553ec81e1457f090d728"")","Zolly","Kelsell","13/04/1998",169,"FAUX","Contrat Pro",3,"stop","CAEN","SPR","SAFRAM","42"
"ObjectId(""61db553ec81e1457f090d729"")","Boyd","Lush","02/03/1994",293,"FAUX","Contrat d'apprentissage",11,"termine","MONTPELIER","BDE","CISCO","SUPINFO"
"ObjectId(""61db553ec81e1457f090d72a"")","Barbra","Kittman","28/06/1999",61,"FAUX","Stage",21,"en cours","LYON","BDE","SOGETI","SUPINFO"
"ObjectId(""61db553ec81e1457f090d72b"")","Evita","Casemore","19/07/2002",128,"FAUX","Contrat Pro",3,"termine","CAEN","BDE","OPEN","101"
"ObjectId(""61db553ec81e1457f090d72c"")","Evey","Goring","17/02/2001",39,"FAUX","Stage",7,"termine","CAEN","SPR","THALES","EPITECH"
"ObjectId(""61db553ec81e1457f090d72d"")","Benton","Legges","24/06/1997",159,"FAUX","Stage",7,"stop","LILLE","SPR","MRC","ESI"
"ObjectId(""61db553ec81e1457f090d72e"")","Leonanie","Pawellek","19/07/1997",60,"FAUX","Contrat d'apprentissage",10,"termine","LYON","BDE","AKKA","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d72f"")","Rene","Watkin","06/06/1993",6,"FAUX","Contrat Pro",14,"termine","LYON","SPR","IBM","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d730"")","Novelia","Dionisii","17/05/1993",172,"FAUX","Contrat Pro",15,"stop","LYON","BDS","GFI","ISIMA"
"ObjectId(""61db553ec81e1457f090d731"")","Iver","Camblin","09/08/2001",204,"FAUX","Contrat Pro",2,"termine","CAEN","BDS","ORACLE","SUPINFO"
"ObjectId(""61db553ec81e1457f090d732"")","Brittany","Brumbye","07/09/1995",279,"FAUX","Contrat d'apprentissage",7,"en cours","LILLE","BDE","ADVENCE CAMEROUN","ISIMA"
"ObjectId(""61db553ec81e1457f090d733"")","Roberta","Comberbach","28/05/1998",86,"FAUX","Contrat d'apprentissage",4,"termine","PARIS","BDS","AFRIK-SOLUTION","ESI"
"ObjectId(""61db553ec81e1457f090d734"")","Kendall","Grice","11/02/1993",50,"FAUX","Contrat d'apprentissage",17,"en cours","LILLE","BDS","AFROLOGIX","EPYTECH"
"ObjectId(""61db553ec81e1457f090d735"")","Jessee","Alman","19/05/1998",98,"FAUX","Contrat Pro",4,"en cours","CAEN","BDS","MRC","SUPINFO"
"ObjectId(""61db553ec81e1457f090d736"")","Kessiah","Callear","29/05/1993",292,"FAUX","Stage",18,"termine","CAEN","BDE","MICHELIN","EPITECH"
"ObjectId(""61db553ec81e1457f090d737"")","Burl","Padrick","29/10/2001",52,"FAUX","Stage",18,"termine","MONTPELIER","SPR","DIGIT CONCEPT","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d738"")","Eldredge","Archer","29/06/2000",133,"FAUX","Contrat d'apprentissage",3,"en cours","LYON","BDE","ORACLE","MINES"
"ObjectId(""61db553ec81e1457f090d739"")","Aldric","Khristoforov","16/05/1995",243,"FAUX","Contrat d'apprentissage",24,"termine","LILLE","SPR","SAFRAM","101"
"ObjectId(""61db553ec81e1457f090d73a"")","Lynna","Fanning","10/11/2002",147,"FAUX","Stage",23,"stop","CLERMONT","BDE","AMAZON","ESI"
"ObjectId(""61db553ec81e1457f090d73b"")","Livvy","Baron","17/01/1998",190,"FAUX","Contrat Pro",2,"en cours","MONTPELIER","SPR","AMAZON","EPITECH"
"ObjectId(""61db553ec81e1457f090d73c"")","Karoline","Forrester","10/07/1999",12,"FAUX","Stage",5,"stop","CLERMONT","BDS","CISCO","ISIMA"
"ObjectId(""61db553ec81e1457f090d73d"")","Cart","Korous","15/04/2002",20,"FAUX","Contrat d'apprentissage",16,"stop","CLERMONT","BDE","ENELCAM","MINES"
"ObjectId(""61db553ec81e1457f090d73e"")","Hallsy","Burd",,80,"FAUX","Contrat d'apprentissage",1,"termine","CLERMONT","BDE","CAMTEL","MINES"
"ObjectId(""61db553ec81e1457f090d73f"")","Christye","Piggins","11/03/2000",81,"FAUX","Contrat d'apprentissage",5,"termine","CLERMONT","BDE","ORACLE","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d740"")","Levy","Faivre","06/03/2002",220,"FAUX","Stage",21,"termine","CLERMONT","SPR","CISCO","MINES"
"ObjectId(""61db553ec81e1457f090d741"")","Sydney","Glencross","23/02/2001",11,"FAUX","Contrat d'apprentissage",23,"termine","MONTPELIER","SPR","IUC","SUPINFO"
"ObjectId(""61db553ec81e1457f090d742"")","Arlina","Cleminson","10/07/2002",170,"FAUX","Contrat d'apprentissage",20,"stop","CLERMONT","SPR","CDISCOUNT","42"
"ObjectId(""61db553ec81e1457f090d743"")","Corny","Cottham","24/01/1999",218,"FAUX","Contrat d'apprentissage",16,"stop","LYON","SPR","SOFTTEAMS","POLYTECH"
"ObjectId(""61db553ec81e1457f090d744"")","Felipe","Hainning","23/08/2000",299,"FAUX","Contrat d'apprentissage",17,"stop","PARIS","SPR","CDISCOUNT","101"
"ObjectId(""61db553ec81e1457f090d745"")","Kathlin","Durgan","21/01/1995",246,"FAUX","Contrat Pro",13,"en cours","PARIS","BDE","ABYSTER","SUPINFO"
"ObjectId(""61db553ec81e1457f090d746"")","Lev","Creasy","28/03/2002",128,"FAUX","Contrat d'apprentissage",19,"en cours","CLERMONT","BDE","RUEDUCOMMERCE","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d747"")","Charlot","Harower","29/06/2002",20,"FAUX","Contrat d'apprentissage",3,"en cours","CAEN","BDS","AKKA","SUPINFO"
"ObjectId(""61db553ec81e1457f090d748"")","Tiffi","Reddy","24/12/1999",45,"FAUX","Contrat d'apprentissage",6,"en cours","LYON","SPR","CONNEXTIC","EPITECH"
"ObjectId(""61db553ec81e1457f090d749"")","Archaimbaud","Rembrandt","31/05/2000",120,"FAUX","Contrat Pro",21,"en cours","CAEN","SPR","ASI","MINES"
"ObjectId(""61db553ec81e1457f090d74a"")","Gerty","Dillaway","05/03/1999",18,"FAUX","Stage",21,"en cours","MONTPELIER","SPR","ALTRAM","101"
"ObjectId(""61db553ec81e1457f090d74b"")","Gilbertina","Pretti","11/11/1996",235,"FAUX","Stage",5,"stop","LYON","BDE","ASI","ISIMA"
"ObjectId(""61db553ec81e1457f090d74c"")","Germaine","Tompkinson","12/10/2002",41,"FAUX","Contrat d'apprentissage",7,"termine","PARIS","BDS","IBM","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d74d"")","Wendel","Atte-Stone","10/05/1997",81,"FAUX","Contrat d'apprentissage",10,"stop","PARIS","BDS","THALES","42"
"ObjectId(""61db553ec81e1457f090d74e"")","Denna","Easterling","01/12/1996",225,"FAUX","Stage",13,"en cours","PARIS","BDS","CGI","42"
"ObjectId(""61db553ec81e1457f090d74f"")","Bryan","Stieger","11/02/2002",129,"FAUX","Stage",7,"en cours","PARIS","BDE","CISCO","POLYTECH"
"ObjectId(""61db553ec81e1457f090d750"")","Sibley","Reoch","24/08/1997",45,"FAUX","Contrat d'apprentissage",16,"termine","LYON","SPR","ASI","INSA"
"ObjectId(""61db553ec81e1457f090d751"")","Aridatha","Carrier","09/11/1994",184,"FAUX","Stage",7,"en cours","MONTPELIER","BDS","CISCO","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d752"")","Alexandr","Girodon","12/06/2001",176,"FAUX","Contrat d'apprentissage",4,"en cours","MONTPELIER","BDS","AFROLOGIX","ISIMA"
"ObjectId(""61db553ec81e1457f090d753"")","Reynolds","Danielsen","27/05/2000",75,"FAUX","Contrat Pro",19,"stop","LILLE","BDS","SOFTTEAMS","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d754"")","Marmaduke","McNelis","30/05/1993",177,"FAUX","Contrat Pro",5,"termine","PARIS","SPR","CONNEXTIC","POLYTECH"
"ObjectId(""61db553ec81e1457f090d755"")","Eddy","Verring","13/02/1993",120,"FAUX","Stage",15,"termine","PARIS","BDE","MICHELIN","SUPINFO"
"ObjectId(""61db553ec81e1457f090d756"")","Celinda","Wardesworth","06/07/1997",191,"FAUX","Contrat d'apprentissage",14,"stop","LYON","BDS","HUAWEI","INSA"
"ObjectId(""61db553ec81e1457f090d757"")","Kelcey","Doby","25/10/1998",217,"FAUX","Stage",20,"en cours","LILLE","BDE","ATOS","EPITECH"
"ObjectId(""61db553ec81e1457f090d758"")","Kylen","Andriessen","24/11/1996",82,"FAUX","Contrat Pro",20,"en cours","LILLE","SPR","CAPGEMINI","ESI"
"ObjectId(""61db553ec81e1457f090d759"")","Dun","Whatson","06/06/2001",158,"FAUX","Stage",7,"stop","LYON","BDS","ORACLE","INSA"
"ObjectId(""61db553ec81e1457f090d75a"")","Magda","Gronow","23/04/1993",33,"FAUX","Stage",19,"stop","CAEN","BDS","ENELCAM","ESI"
"ObjectId(""61db553ec81e1457f090d75b"")","Tallulah","Dowgill","11/09/1994",201,"FAUX","Stage",3,"en cours","LYON","BDE","ACCENTURE","POLYTECH"
"ObjectId(""61db553ec81e1457f090d75c"")","Kerk","Dealtry","24/06/1993",179,"FAUX","Stage",4,"en cours","CLERMONT","SPR","ALTRAM","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d75d"")","Matteo","Sleith","05/02/1994",288,"FAUX","Stage",19,"stop","CAEN","BDS","SHINKA","POLYTECH"
"ObjectId(""61db553ec81e1457f090d75e"")","Panchito","Girardez","29/06/1995",46,"FAUX","Stage",6,"stop","CLERMONT","SPR","ENELCAM","ISIMA"
"ObjectId(""61db553ec81e1457f090d75f"")","Arden","Larking","04/12/2002",168,"FAUX","Contrat Pro",11,"stop","LYON","BDS","FREE","INSA"
"ObjectId(""61db553ec81e1457f090d760"")","Kalie","Canada","02/08/1999",64,"FAUX","Stage",14,"en cours","LILLE","SPR","IBM","EPITECH"
"ObjectId(""61db553ec81e1457f090d761"")","Zedekiah","Moseley","17/08/1999",83,"FAUX","Stage",8,"en cours","LILLE","BDS","THALES","MINES"
"ObjectId(""61db553ec81e1457f090d762"")","Mayor","Peer","25/03/1996",13,"FAUX","Stage",14,"stop","CLERMONT","BDE","ENELCAM","ESI"
"ObjectId(""61db553ec81e1457f090d763"")","Andra","Groundwator","23/07/1994",17,"FAUX","Stage",7,"en cours","PARIS","BDS","GFI","INSA"
"ObjectId(""61db553ec81e1457f090d764"")","Helaine","Daunay","19/06/1993",136,"FAUX","Contrat d'apprentissage",7,"stop","LYON","BDS","AXXA","ISIMA"
"ObjectId(""61db553ec81e1457f090d765"")","Kelley","Folkerd","11/03/1995",19,"FAUX","Contrat Pro",24,"stop","PARIS","BDS","CDISCOUNT","101"
"ObjectId(""61db553ec81e1457f090d766"")","Alexandrina","Brackpool","03/12/1997",132,"FAUX","Stage",5,"termine","LILLE","SPR","HUAWEI","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d767"")","Kent","McKellar","26/06/2001",58,"FAUX","Contrat Pro",7,"termine","CAEN","SPR","SAFRAM","42"
"ObjectId(""61db553ec81e1457f090d768"")","Shir","Boxhall","21/06/2002",179,"FAUX","Contrat d'apprentissage",5,"en cours","MONTPELIER","SPR","ORACLE","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d769"")","Dannie","Shirtcliffe","08/11/2000",140,"FAUX","Contrat Pro",20,"stop","PARIS","BDE","ORACLE","INSA"
"ObjectId(""61db553ec81e1457f090d76a"")","Blondell","Le Jean","06/08/2002",8,"FAUX","Contrat d'apprentissage",20,"en cours","CLERMONT","BDS","FREE","MINES"
"ObjectId(""61db553ec81e1457f090d76b"")","Rochette","Vidineev","01/12/2001",223,"FAUX","Contrat Pro",7,"termine","LILLE","BDE","ASTEK","POLYTECH"
"ObjectId(""61db553ec81e1457f090d76c"")","Ruthanne","Brundrett","29/08/1993",90,"FAUX","Contrat Pro",19,"termine","LILLE","SPR","AKKA","ESI"
"ObjectId(""61db553ec81e1457f090d76d"")","Sioux","Joris","11/07/1995",150,"FAUX","Stage",13,"termine","LILLE","SPR","IUC","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d76e"")","Stevena","Durtnall","18/11/1999",233,"FAUX","Contrat Pro",21,"termine","LILLE","BDS","CAPGEMINI","POLYTECH"
"ObjectId(""61db553ec81e1457f090d76f"")","Cleveland","Matis","16/06/1999",300,"VRAI","Contrat d'apprentissage",3,"stop","PARIS","BDE","CAPGEMINI","POLYTECH"
"ObjectId(""61db553ec81e1457f090d770"")","Melisenda","Pashe","23/10/1997",225,"FAUX","Contrat d'apprentissage",9,"termine","MONTPELIER","BDE","AKKA","MINES"
"ObjectId(""61db553ec81e1457f090d771"")","Bentley","Folini","14/05/1993",91,"FAUX","Stage",3,"stop","LILLE","SPR","AFROLOGIX","101"
"ObjectId(""61db553ec81e1457f090d772"")","Paddie","Cottis","10/12/1998",15,"FAUX","Stage",17,"en cours","MONTPELIER","SPR","AMAZON","101"
"ObjectId(""61db553ec81e1457f090d773"")","Carmine","Spellard","11/11/1993",300,"VRAI","Contrat Pro",2,"stop","LILLE","BDS","MICHELIN","42"
"ObjectId(""61db553ec81e1457f090d774"")","Glory","Hamberstone","06/03/2001",32,"FAUX","Stage",10,"termine","CAEN","BDS","SHINKA","ISIMA"
"ObjectId(""61db553ec81e1457f090d775"")","Anthiathia","Grzegorczyk","16/11/1997",22,"FAUX","Contrat d'apprentissage",13,"stop","CLERMONT","SPR","CDISCOUNT","101"
"ObjectId(""61db553ec81e1457f090d776"")","Gwendolen","Sidnell","18/04/1998",266,"FAUX","Contrat Pro",3,"stop","CAEN","BDE","ASTEK","ISIMA"
"ObjectId(""61db553ec81e1457f090d777"")","Ulberto","Colyer","09/10/2002",149,"FAUX","Contrat d'apprentissage",1,"termine","LYON","BDS","AFROLOGIX","42"
"ObjectId(""61db553ec81e1457f090d778"")","Josefa","Eustice","25/07/1997",99,"FAUX","Contrat Pro",12,"en cours","CLERMONT","SPR","SOGETI","MINES"
"ObjectId(""61db553ec81e1457f090d779"")","Fiorenze","Blackesland","03/03/1999",245,"FAUX","Contrat d'apprentissage",15,"en cours","PARIS","SPR","GFI","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d77a"")","Flory","Sleaford","14/11/1995",9,"FAUX","Stage",4,"en cours","PARIS","BDE","THALES","MINES"
"ObjectId(""61db553ec81e1457f090d77b"")","Desmond","Wiskar","15/02/2002",210,"FAUX","Contrat Pro",19,"stop","LYON","SPR","ENELCAM","ESI"
"ObjectId(""61db553ec81e1457f090d77c"")","Jonah","Malling","18/04/1998",123,"FAUX","Contrat Pro",16,"en cours","CAEN","SPR","CAPGEMINI","INSA"
"ObjectId(""61db553ec81e1457f090d77d"")","Guillermo","Phuprate","04/01/1994",154,"FAUX","Contrat d'apprentissage",8,"stop","MONTPELIER","BDE","CAMTEL","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d77e"")","Michel","Heaven","06/02/1995",151,"FAUX","Contrat d'apprentissage",4,"en cours","CAEN","SPR","ALTRAM","INSA"
"ObjectId(""61db553ec81e1457f090d77f"")","Joye","Delhanty","29/07/1998",29,"FAUX","Contrat d'apprentissage",14,"en cours","MONTPELIER","BDE","ALL4TEST","EPITECH"
"ObjectId(""61db553ec81e1457f090d780"")","Fernanda","Vaissiere","29/08/1995",169,"FAUX","Contrat Pro",6,"termine","CLERMONT","SPR","OPEN","SUPINFO"
"ObjectId(""61db553ec81e1457f090d781"")","Kacy","Found","19/07/1996",190,"FAUX","Stage",4,"en cours","CAEN","BDS","ALL4TEST","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d782"")","Kristo","Eglise","27/10/2001",121,"FAUX","Contrat d'apprentissage",19,"termine","PARIS","SPR","MTN","MINES"
"ObjectId(""61db553ec81e1457f090d783"")","Anne-marie","Cream","10/05/1994",72,"FAUX","Contrat Pro",7,"en cours","MONTPELIER","BDS","FREE","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d784"")","Alford","Trosdall","27/02/1993",190,"FAUX","Stage",9,"stop","LILLE","SPR","CAMTEL","SUPINFO"
"ObjectId(""61db553ec81e1457f090d785"")","Gwenora","Desson","14/10/1999",133,"FAUX","Stage",11,"termine","LYON","BDS","HUAWEI","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d786"")","Valina","Wharby","29/04/1993",201,"FAUX","Contrat d'apprentissage",14,"en cours","CLERMONT","BDS","ACCENTURE","POLYTECH"
"ObjectId(""61db553ec81e1457f090d787"")","Mirna","Phillpotts","30/10/2002",59,"FAUX","Contrat Pro",16,"stop","MONTPELIER","BDS","IUC","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d788"")","Augie","Gales","28/05/2002",236,"FAUX","Contrat Pro",20,"en cours","CAEN","BDS","ATOS","ESI"
"ObjectId(""61db553ec81e1457f090d789"")","Vasilis","Valerio","26/05/1993",70,"FAUX","Stage",12,"termine","CLERMONT","SPR","CDISCOUNT","42"
"ObjectId(""61db553ec81e1457f090d78a"")","Bebe","Spitaro","13/01/1999",193,"FAUX","Stage",8,"en cours","MONTPELIER","SPR","OPEN","EPITECH"
"ObjectId(""61db553ec81e1457f090d78b"")","Danell","Godilington","13/08/1999",134,"FAUX","Stage",2,"en cours","CAEN","SPR","SHINKA","42"
"ObjectId(""61db553ec81e1457f090d78c"")","Rand","Drugan","10/12/1995",115,"FAUX","Contrat d'apprentissage",10,"stop","LYON","BDS","CGI","42"
"ObjectId(""61db553ec81e1457f090d78d"")","Jimmie","Sherman","10/09/1994",272,"FAUX","Contrat Pro",1,"en cours","LYON","BDS","ALTRAM","ISIMA"
"ObjectId(""61db553ec81e1457f090d78e"")","Gregory","Blakebrough","13/08/1997",284,"FAUX","Stage",6,"stop","LYON","BDE","MICHELIN","ESI"
"ObjectId(""61db553ec81e1457f090d78f"")","Jude","Feaster","20/05/1994",179,"FAUX","Contrat Pro",21,"stop","LILLE","BDS","AFRIK-SOLUTION","MINES"
"ObjectId(""61db553ec81e1457f090d790"")","Addie","Gowlett","16/10/2000",111,"FAUX","Contrat d'apprentissage",4,"stop","CLERMONT","BDS","SOFTTEAMS","SUPINFO"
"ObjectId(""61db553ec81e1457f090d791"")","Kinny","Alston","27/04/1994",230,"FAUX","Contrat Pro",8,"stop","PARIS","BDE","DIGIT CONCEPT","POLYTECH"
"ObjectId(""61db553ec81e1457f090d792"")","Tally","Guerra","18/03/1996",76,"FAUX","Stage",2,"en cours","LYON","BDE","ALTRAM","EPITECH"
"ObjectId(""61db553ec81e1457f090d793"")","Barron","MacRitchie","11/04/1998",56,"FAUX","Contrat d'apprentissage",5,"en cours","MONTPELIER","SPR","ORACLE","ESI"
"ObjectId(""61db553ec81e1457f090d794"")","Jarrett","Ladell","09/03/2001",58,"FAUX","Contrat d'apprentissage",10,"en cours","MONTPELIER","BDS","OPEN","EPITECH"
